[Parsed_ebur128_0 @ 0x55e735335380] t: 6.19998    TARGET:-23 LUFS    M: -43.2 S: -30.7     I: -30.0 LUFS       LRA:   2.7 LU  FTPK: -36.9 -38.9 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 6.29998    TARGET:-23 LUFS    M: -44.7 S: -30.7     I: -30.0 LUFS       LRA:   2.7 LU  FTPK: -40.1 -39.3 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 6.39998    TARGET:-23 LUFS    M: -43.8 S: -30.7     I: -30.0 LUFS       LRA:   2.7 LU  FTPK: -25.5 -24.0 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 6.49998    TARGET:-23 LUFS    M: -29.6 S: -30.0     I: -30.0 LUFS       LRA:   2.7 LU  FTPK: -17.0 -15.8 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 6.59998    TARGET:-23 LUFS    M: -27.7 S: -29.7     I: -29.9 LUFS       LRA:   2.7 LU  FTPK: -19.6 -18.1 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 6.69998    TARGET:-23 LUFS    M: -26.6 S: -29.4     I: -29.8 LUFS       LRA:   2.8 LU  FTPK: -20.5 -22.2 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 6.79998    TARGET:-23 LUFS    M: -26.1 S: -29.3     I: -29.7 LUFS       LRA:   2.8 LU  FTPK: -21.2 -22.8 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 6.89998    TARGET:-23 LUFS    M: -28.4 S: -29.4     I: -29.7 LUFS       LRA:   3.0 LU  FTPK: -28.0 -28.4 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 6.99998    TARGET:-23 LUFS    M: -30.5 S: -29.8     I: -29.7 LUFS       LRA:   3.0 LU  FTPK: -30.9 -30.4 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 7.09998    TARGET:-23 LUFS    M: -33.9 S: -30.0     I: -29.7 LUFS       LRA:   3.0 LU  FTPK: -33.1 -35.2 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 7.19998    TARGET:-23 LUFS    M: -38.4 S: -30.2     I: -29.8 LUFS       LRA:   3.0 LU  FTPK: -35.5 -34.9 dBFS  TPK: -17.0 -15.8 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 7.29998    TARGET:-23 LUFS    M: -40.1 S: -30.3     I: -29.9 LUFS       LRA:   3.0 LU  FTPK: -34.6 -36.6 dBFS  TPK: -17.0 -15.8 dBFS
